time,ACCESS-CM2,ACCESS-ESM1-5,AWI-CM-1-1-MR,BCC-CSM2-MR,CAMS-CSM1-0,CAS-ESM2-0,CESM2,CESM2-WACCM,CIESM,CMCC-CM2-SR5,CNRM-CM6-1,CNRM-CM6-1-HR,CNRM-ESM2-1,CanESM5,CanESM5-CanOE,EC-Earth3,EC-Earth3-CC,EC-Earth3-Veg,EC-Earth3-Veg-LR,FGOALS-f3-L,FGOALS-g3,FIO-ESM-2-0,GFDL-CM4,GFDL-ESM4,GISS-E2-1-G,HadGEM3-GC31-LL,IITM-ESM,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,KIOST-ESM,MCM-UA-1-0,MIROC-ES2L,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3,NorESM2-LM,NorESM2-MM,UKESM1-0-LL
1860-12-31,289.38596,289.99188,289.23843,290.20273,289.55728,289.75583,289.69788,289.3071,290.08466,289.70065,288.50717,287.90778,289.3578,289.07324,288.92383,289.51498,289.59006,288.9546,293.01538,288.26352,288.3779,288.89343,288.2177,288.82068,289.5186,289.23242,293.47864,288.77985,288.78717,288.34793,289.11032,288.2901,289.0823,290.68567,290.78802,289.25516,289.12613,289.25793,289.15036,289.7354,289.39267,288.97467
1861-12-31,289.26166,289.99146,289.48325,290.30142,289.4961,289.42065,289.5681,289.1264,289.82388,289.7067,288.30014,287.70615,289.1402,289.03717,288.80814,289.50195,289.61026,289.0811,293.0994,288.0659,288.352,288.90582,288.164,288.7361,289.58795,289.15625,293.48608,288.7475,288.73523,288.53036,289.07404,288.30914,289.16687,290.6205,290.71884,289.3443,289.22546,289.22876,289.1738,289.74045,289.28546,289.072
1862-12-31,289.25195,289.96213,289.1307,290.12326,289.43417,289.2749,289.71875,289.0457,289.71356,289.7224,288.21054,287.8095,289.21838,288.8848,288.80368,289.36667,289.54086,288.90656,293.13553,288.15216,288.393,288.74194,288.21588,288.75082,289.5469,289.08685,293.52664,288.8332,288.6785,288.13126,288.99738,288.26166,289.20615,290.56976,290.85458,289.3041,289.0252,289.18466,289.04193,289.7928,289.3061,288.98798
1863-12-31,289.1618,290.12488,289.22778,290.13086,289.32922,289.77618,289.70035,289.1603,289.8471,289.5337,288.35385,287.80408,289.315,289.0267,288.95874,289.4921,289.37317,288.96185,292.97458,287.9938,288.26938,288.8231,288.03796,288.7887,289.556,289.14532,293.5826,288.74435,288.55792,288.2614,288.98627,288.11215,289.0878,290.55307,291.00363,289.40005,289.05563,289.27972,289.21118,290.11,289.39618,289.01816
1864-12-31,289.27173,290.16492,289.2952,290.3955,289.3093,289.84198,289.6843,289.23083,289.86523,289.44186,288.51102,287.77524,289.32343,289.01242,288.91522,289.64264,289.31982,289.0052,292.7969,288.1603,288.3949,288.75998,288.1198,288.9248,289.7011,289.2748,293.42816,288.79117,288.64993,288.35995,289.0822,288.23166,288.99164,290.66504,290.66208,289.43576,289.27087,289.1492,289.08228,290.25363,289.5452,289.00104
1865-12-31,289.2059,290.03104,289.23962,290.33383,289.3084,289.62695,289.58063,289.27786,289.9309,289.50537,288.3653,287.829,289.02136,288.88757,288.85254,289.6472,289.3753,288.9344,292.9525,288.35806,288.51373,288.87265,288.2025,289.0109,289.866,289.36047,293.54922,288.7881,288.72137,288.4734,288.91608,288.38297,289.0423,290.87244,290.5502,289.40308,289.2188,289.27405,289.15704,289.99188,289.6047,288.80994
1866-12-31,289.2284,290.08105,289.33698,290.36523,289.4687,289.63516,289.66782,289.4574,289.96924,289.3897,288.42514,287.84827,289.271,289.12936,288.8612,289.6249,289.56934,288.8739,293.1342,288.28687,288.5279,288.79965,288.34656,289.00797,289.63235,289.3484,293.63568,288.81274,288.7225,288.60483,289.10056,288.03134,289.12787,290.66962,290.61337,289.50705,289.06033,289.21042,289.16962,289.87527,289.77985,288.88763
1867-12-31,289.3318,290.20816,289.26282,290.4709,289.31635,289.62827,289.51984,289.4638,289.81055,289.57172,288.4187,287.74176,289.34302,289.27542,288.86655,289.59204,289.34073,288.98547,293.1314,288.1542,288.48727,288.89447,288.39322,288.9707,289.5003,289.24875,293.515,288.8904,288.7103,288.45746,289.0496,288.32724,289.0529,290.3962,290.70172,289.5568,289.1094,289.18716,289.06247,289.8944,289.7409,288.9132
1868-12-31,289.18402,290.18106,289.2667,290.35947,289.32144,289.70352,289.46152,289.43155,289.79968,289.65588,288.376,287.78726,289.21698,289.1245,288.94095,289.56293,289.42007,289.00113,292.95105,288.40137,288.5338,289.0972,288.3236,288.89597,289.49612,289.09735,293.58133,288.8063,288.71988,288.3159,289.11743,288.4118,289.102,290.54074,290.90436,289.5853,289.02255,289.2924,288.99573,290.2419,289.38483,288.87012
1869-12-31,289.24225,290.0684,289.44046,290.4204,289.10815,289.69025,289.52948,289.2482,289.76694,289.8739,288.44324,287.82602,289.33862,289.08627,288.93216,289.51566,289.5263,288.98245,293.1254,288.4562,288.3896,288.91394,288.375,288.91275,289.80328,289.1299,293.70346,288.83118,288.792,288.2591,289.107,288.23624,289.04703,290.61853,291.04865,289.5236,289.03616,289.155,289.1104,290.1741,289.35538,288.6878
1870-12-31,289.30725,290.04083,289.3937,290.2462,289.1701,289.6462,289.4731,289.35812,289.7962,289.79843,288.44086,287.8438,289.29037,289.14246,288.89813,289.6586,289.50745,289.0675,292.97787,288.11304,288.43396,288.8537,288.3707,288.9516,289.71854,289.23508,293.6552,288.89636,288.79343,288.38574,289.0318,288.31177,289.1554,290.59464,290.88367,289.4986,289.2074,289.18814,289.12576,289.9191,289.2863,288.58054
1871-12-31,289.35776,290.10986,289.136,290.33923,289.2881,289.4535,289.5137,289.4115,289.73172,289.6736,288.4215,287.84012,289.40576,289.0675,288.91818,289.6361,289.3897,289.13483,293.1471,288.3031,288.4394,288.7964,288.4172,288.94992,289.49777,289.24893,293.85562,288.96066,288.69592,288.47195,289.08325,288.39368,289.3011,290.76022,290.88513,289.51117,289.1362,289.27478,289.187,289.996,289.40808,288.7635
1872-12-31,289.4843,290.11667,289.1521,290.328,289.48325,289.69794,289.75208,289.234,289.768,289.7157,288.3819,287.77878,289.28128,289.0469,288.8467,289.58344,289.64352,289.1602,293.24008,288.47565,288.41946,288.9207,288.5488,289.00574,289.515,289.16357,293.5606,288.9677,288.7448,288.58423,288.98303,288.1925,289.3152,290.91876,290.84705,289.42664,289.09406,289.10483,289.01413,289.98227,289.45337,289.04074
